번호,날짜,매체명,매체등급,제목,논조,기사크기,핵심메시지,URL
17,2026-06-12,산업일보,전문지,"누리홈, 필터 생산라인 증설 검토",중립,소,없음,https://example.com/clip/2026/06/1201
18,2026-06-12,위키트리,온라인,"누리홈 '숨 쉬는 하루' 캠페인 영상 화제",긍정,소,없음,https://example.com/clip/2026/06/1202
19,2026-06-15,아시아경제,경제지,"누리홈, ESG 평가 등급 상향... 필터 재활용 반영",긍정,중,M2,https://example.com/clip/2026/06/1501
20,2026-06-15,뉴스1,온라인,"누리홈 '숨 쉬는 하루' 캠페인, 참여 1만 명 돌파",긍정,소,없음,https://example.com/clip/2026/06/1502
21,2026-06-16,동아일보,중앙일간지,"가전도 구독한다... 렌탈 시장 5조 원 시대",중립,대,없음,https://example.com/clip/2026/06/1601
22,2026-06-16,아이뉴스24,온라인,"누리홈, 에어원 3 초기 물량 완판",중립,소,없음,https://example.com/clip/2026/06/1602
23,2026-06-17,전자신문,전문지,"누리홈 3중 저소음 필터, 특허 등록 완료",긍정,중,M1,https://example.com/clip/2026/06/1701
24,2026-06-18,뉴시스,온라인,"누리홈 렌탈 AS 지연 불만 잇따라",부정,소,없음,https://example.com/clip/2026/06/1801
25,2026-06-19,한겨레,중앙일간지,"폐필터는 어디로 가나... 가전업계의 재활용 실험",긍정,대,M2,https://example.com/clip/2026/06/1901
26,2026-06-19,지디넷코리아,온라인,"누리홈, AS 지연 논란에 '접수 인력 2배 확대'",중립,소,M3,https://example.com/clip/2026/06/1902
27,2026-06-22,헤럴드경제,경제지,"누리홈, 상반기 매출 두 자릿수 성장 전망",긍정,중,없음,https://example.com/clip/2026/06/2201
28,2026-06-22,데일리안,온라인,"누리홈 '숨 쉬는 하루' 챌린지, SNS 확산",긍정,소,없음,https://example.com/clip/2026/06/2202
29,2026-06-23,뉴스1,온라인,"누리홈, 취약계층에 공기청정기 500대 기부",긍정,소,없음,https://example.com/clip/2026/06/2301
30,2026-06-24,컨슈머타임스,전문지,"공기청정기 성능 비교... 누리홈 CADR, 표기 대비 미달 지적",부정,중,없음,https://example.com/clip/2026/06/2401
31,2026-06-25,서울신문,중앙일간지,"여름철 실내 공기질, 무엇을 봐야 하나",중립,중,M1,https://example.com/clip/2026/06/2501
32,2026-06-25,인사이트,온라인,"누리홈 캠페인 영상, 조회수 100만 돌파",긍정,소,없음,https://example.com/clip/2026/06/2502
33,2026-06-26,파이낸셜뉴스,경제지,"누리홈, 하반기 해외 진출 검토",중립,소,없음,https://example.com/clip/2026/06/2601
34,2026-06-26,환경일보,전문지,"가전업계 순환경제 실험, 누리홈 사례 주목",긍정,중,M2,https://example.com/clip/2026/06/2602
35,2026-06-27,뉴시스,온라인,"누리홈, 에어원 3 누적 판매 2만 대",중립,소,없음,https://example.com/clip/2026/06/2701
36,2026-06-29,경향신문,중앙일간지,"10년 보증 시대... 가전 AS 경쟁 불붙었다",긍정,중,M3,https://example.com/clip/2026/06/2901
37,2026-06-29,디지털타임스,전문지,"누리홈, AS 접수 자동화 시스템 도입",중립,소,M3,https://example.com/clip/2026/06/2902
38,2026-06-29,아이뉴스24,온라인,"누리홈 필터 재활용 참여자 3천 명 돌파",긍정,소,M2,https://example.com/clip/2026/06/2903
39,2026-06-30,매일경제,경제지,"누리홈, 상반기 렌탈 계정 12만 개 돌파",긍정,대,없음,https://example.com/clip/2026/06/3001
40,2026-06-30,데일리안,온라인,"누리홈, 7월 신제품 티저 공개",중립,소,없음,https://example.com/clip/2026/06/3002
